MLAT MLON date time
73.7 300.0 20150202 1830
74.3 315.0 20150202 1830
74.3 330.0 20150202 1830
73.7 345.0 20150202 1830
72.5 0.0 20150202 1830
72.4 0.0 20150202 1900
70.6 15.0 20150202 1900
68.4 30.0 20150202 1900
66.1 45.0 20150202 1900
63.7 60.0 20150202 1900
61.5 75.0 20150202 1900
59.5 90.0 20150202 1900
58.0 105.0 20150202 1900
57.0 120.0 20150202 1900
56.5 135.0 20150202 1900
56.8 150.0 20150202 1900
57.6 165.0 20150202 1900
58.9 180.0 20150202 1900
60.8 195.0 20150202 1900
63.0 210.0 20150202 1900
65.3 225.0 20150202 1900
67.7 240.0 20150202 1900
69.9 255.0 20150202 1900
71.9 270.0 20150202 1900
73.4 285.0 20150202 1900
74.4 300.0 20150202 1900
74.8 315.0 20150202 1900
74.6 330.0 20150202 1900
73.8 345.0 20150202 1900
72.4 0.0 20150202 1900
75.7 0.0 20150202 1930
74.1 15.0 20150202 1930
72.2 30.0 20150202 1930
70.2 45.0 20150202 1930
68.2 60.0 20150202 1930
66.4 75.0 20150202 1930
