-6.93241706845 3.61548762387 0.5   True 64.0 0.0 419.985261617 56.0349255035 "2012-10-23 07:16:00"
-8.9054035279 4.14499300762 1.5   True 57.5 -2.0 391.046066827 35.8483075919 "2013-10-02 05:32:00"
-8.9054035279   54.6 -7.66 False 54.5 -7.0 670.097865946  "2013-10-02 05:32:00"
-8.9054035279   55.11 -7.73 False 55.0 -7.0 738.483756065  "2013-10-02 05:32:00"
-8.9054035279   55.65 -7.94 False 55.5 -7.0 955.416218105  "2013-10-02 05:32:00"
-8.9054035279   56.16 -8.0 False 56.0 -7.0 1017.00991571  "2013-10-02 05:32:00"
-8.9054035279   56.65 -7.93 False 56.5 -7.0 940.707434875  "2013-10-02 05:32:00"
-8.9054035279   57.18 -8.14 False 57.0 -7.0 1158.03495712  "2013-10-02 05:32:00"
-6.2872087379 4.83534408908 1.0   True 57.0 -3.0 784.748374773 65.4195648474 "2013-10-02 05:38:00"
-18.5363913615 6.25424726787 1.0   True 56.0 -3.0 460.41638495 39.2095893223 "2013-10-02 05:38:00"
-8.47642170846 5.24230665261 1.0   True 57.5 -3.0 655.882314662 65.6614059348 "2013-10-02 05:38:00"
-5.51554912106 2.17967131789 1.5   True 57.5 -2.0 489.151837271 25.8803078806 "2013-10-02 05:38:00"
-13.8396391979 6.29282930203 1.0   True 55.5 -3.0 458.632306452 44.4688413023 "2013-10-02 05:38:00"
-13.8396391979   55.13 -7.53 False 55.0 -7.0 549.215447281  "2013-10-02 05:38:00"
-13.8396391979   55.71 -7.85 False 55.5 -7.0 872.185483546  "2013-10-02 05:38:00"
-18.5363913615   56.22 -7.66 False 56.0 -7.0 694.644444125  "2013-10-02 05:38:00"
-12.4118000497   56.69 -7.87 False 56.5 -7.0 893.07341517  "2013-10-02 05:38:00"
-12.4118000497   56.64 -3.62 False 56.5 -3.0 631.434747555  "2013-10-02 05:38:00"
-6.2872087379   57.14 -5.23 False 57.0 -4.0 1237.99745347  "2013-10-02 05:38:00"
-8.47642170846   57.68 -5.24 False 57.5 -4.0 1252.96440419  "2013-10-02 05:38:00"
-8.47642170846   58.13 -4.9 False 58.0 -4.0 910.921956192  "2013-10-02 05:38:00"
-8.47642170846   58.67 -8.13 False 58.5 -7.0 1141.60679966  "2013-10-02 05:38:00"
-8.47642170846   58.64 -4.91 False 58.5 -4.0 918.293725584  "2013-10-02 05:38:00"
-2.27532688244 0.891394011977 0.5   True 56.5 -3.0 503.948008238 18.1226636884 "2013-10-02 05:40:00"
-2.27532688244   55.02 -7.63 False 55.0 -7.0 628.057429682  "2013-10-02 05:40:00"
-2.27532688244   55.53 -7.65 False 55.5 -7.0 648.422072386  "2013-10-02 05:40:00"
-2.27532688244   56.03 -7.86 False 56.0 -7.0 862.636575325  "2013-10-02 05:40:00"
-2.27532688244   56.05 -5.18 False 56.0 -4.0 1178.59644483  "2013-10-02 05:40:00"
-2.27532688244   56.54 -8.06 False 56.5 -7.0 1062.36882317  "2013-10-02 05:40:00"
-2.27532688244   56.55 -5.37 False 56.5 -4.0 1372.9600187  "2013-10-02 05:40:00"
-2.27532688244   57.06 -8.57 False 57.0 -7.0 1572.02968225  "2013-10-02 05:40:00"
-2.27532688244   57.06 -5.4 False 57.0 -4.0 1401.47996751  "2013-10-02 05:40:00"
-2.27532688244   57.55 -5.33 False 57.5 -4.0 1335.19781162  "2013-10-02 05:40:00"
-2.27532688244   57.52 -3.44 False 57.5 -3.0 435.737335804  "2013-10-02 05:40:00"
-2.27532688244   58.06 -5.39 False 58.0 -4.0 1390.13777506  "2013-10-02 05:40:00"
-2.27532688244   58.55 -5.31 False 58.5 -4.0 1307.49316251  "2013-10-02 05:40:00"
-2.27532688244   59.06 -8.39 False 59.0 -7.0 1393.73864107  "2013-10-02 05:40:00"
9.04185768738 4.17696624519 1.5   True 56.0 -4.0 1104.69405423 99.7268275049 "2013-10-02 05:42:00"
-16.2518528414 1.49959998333 1.5   True 56.5 -2.0 650.809784712 29.892871305 "2013-10-02 05:42:00"
-16.7943330715 4.72409346489 0.5   True 56.5 -3.0 642.978699456 58.6055572007 "2013-10-02 05:42:00"
-16.7943330715   54.6 -3.34 False 54.5 -3.0 357.57179666  "2013-10-02 05:42:00"
-16.7943330715   55.11 -3.36 False 55.0 -3.0 380.508693871  "2013-10-02 05:42:00"
9.04185768738   55.39 -7.71 False 55.5 -7.0 716.511577571  "2013-10-02 05:42:00"
-16.7943330715   55.69 -3.62 False 55.5 -3.0 643.467132192  "2013-10-02 05:42:00"
9.04185768738   55.89 -7.7 False 56.0 -7.0 710.523674062  "2013-10-02 05:42:00"
-16.7943330715   56.18 -3.59 False 56.0 -3.0 619.800181427  "2013-10-02 05:42:00"
9.04185768738   56.36 -7.87 False 56.5 -7.0 877.799537122  "2013-10-02 05:42:00"
9.04185768738   56.26 -5.48 False 56.5 -4.0 1496.99638978  "2013-10-02 05:42:00"
9.04185768738   56.46 -10.42 False 57.0 -7.0 3463.50211421  "2013-10-02 05:42:00"
9.04185768738   56.75 -5.55 False 57.0 -4.0 1568.58229088  "2013-10-02 05:42:00"
9.04185768738   57.26 -5.54 False 57.5 -4.0 1556.82412755  "2013-10-02 05:42:00"
9.04185768738   57.74 -5.65 False 58.0 -4.0 1668.44210416  "2013-10-02 05:42:00"
9.04185768738   58.25 -5.58 False 58.5 -4.0 1600.31015624  "2013-10-02 05:42:00"
-10.31029842 4.53226401326 1.0   True 55.5 -3.0 994.850222225 136.542032839 "2013-10-02 05:46:00"
4.40454808835 4.04892327671 1.5   True 55.0 -2.0 595.816407483 52.0900487406 "2013-10-02 05:46:00"
4.40454808835 4.04892327671 1.0   True 55.0 -3.0 595.816407483 52.0900487406 "2013-10-02 05:46:00"
-11.8524770267 1.02954396385 1.0   True 55.5 -2.0 1271.46264984 59.9185669516 "2013-10-02 05:46:00"
4.40454808835   54.45 -3.69 False 54.5 -3.0 696.918383517  "2013-10-02 05:46:00"
-10.31029842   56.1 -7.54 False 56.0 -7.0 553.599970583  "2013-10-02 05:46:00"
-10.31029842   56.3 -5.64 False 56.0 -4.0 1670.80931592  "2013-10-02 05:46:00"
-10.31029842   56.17 -3.93 False 56.0 -3.0 941.993634834  "2013-10-02 05:46:00"
-10.31029842   56.77 -5.48 False 56.5 -4.0 1503.17982731  "2013-10-02 05:46:00"
-10.31029842   56.67 -3.95 False 56.5 -3.0 960.813105774  "2013-10-02 05:46:00"
-10.31029842   57.3 -5.66 False 57.0 -4.0 1688.02512889  "2013-10-02 05:46:00"
