beam,range,geoAzm,magAzm,vLos,MLAT,MLT,MLON,GLAT,GLON,radId,radCode,normMLT_x,normMLTRound,spwdth,pwr
14,32,56.34,64.84,282.5512,56.7972,3.2103,-9.1339,45.3255,-82.7013,205,fhe,3.2103,3,83.5054,19.5158
14,33,56.34,65.32,270.4573,56.9275,3.2624,-8.3525,45.4799,-82.1671,205,fhe,3.2624,3,67.7519,20.0091
14,34,56.34,65.8,259.0869,57.0519,3.3148,-7.5665,45.6316,-81.6302,205,fhe,3.3148,3,58.6075,19.4757
14,35,56.34,66.28,234.8966,57.1704,3.3675,-6.776,45.7805,-81.0905,205,fhe,3.3675,3,58.6075,18.5336
14,36,56.34,66.75,219.746,57.2831,3.4205,-5.9814,45.9267,-80.548,205,fhe,3.4205,3,58.8773,18.1476
14,37,56.34,67.22,196.9453,57.3897,3.4737,-5.1827,46.07,-80.0027,205,fhe,3.4737,3,70.0787,17.1817
14,38,56.34,67.68,190.2963,57.4904,3.5272,-4.3802,46.2106,-79.4546,205,fhe,3.5272,3,99.3864,16.87
14,39,56.34,68.14,184.006,57.5851,3.581,-3.5741,46.3484,-78.9037,205,fhe,3.581,3,87.1732,16.2393
14,40,56.34,68.59,154.2138,57.6737,3.6349,-2.7648,46.4833,-78.35,205,fhe,3.6349,3,78.4185,16.2393
14,41,56.34,69.03,118.9869,57.7562,3.6891,-1.9523,46.6154,-77.7934,205,fhe,3.6891,3,67.6882,16.1322
15,31,59.58,67.69,290.8698,55.9827,3.1943,-9.374,44.4539,-82.8457,205,fhe,3.1943,3,99.8936,17.2649
15,32,59.58,68.17,275.2101,56.0959,3.2464,-8.5931,44.5889,-82.3089,205,fhe,3.2464,3,110.4031,17.2649
15,33,59.58,68.63,275.2101,56.203,3.2987,-7.8083,44.721,-81.7699,205,fhe,3.2987,3,83.5054,9.6463
15,34,59.58,69.1,269.8966,56.3041,3.3513,-7.0199,44.8503,-81.2286,205,fhe,3.3513,3,63.9714,10.8965
15,35,59.58,69.56,244.1046,56.3992,3.404,-6.2281,44.9768,-80.6849,205,fhe,3.404,3,58.6075,10.8965
15,36,59.58,70.02,234.3297,56.4881,3.457,-5.4331,45.1004,-80.139,205,fhe,3.457,3,68.1205,12.2864
15,37,59.58,70.47,219.746,56.571,3.5102,-4.6351,45.2211,-79.5907,205,fhe,3.5102,3,82.6842,12.7667
